name,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,cyclic_delay,p_nom_opt,interconnector_name,counterparty_country,commissioning_year,source
H2_turbine_gen_H2_1040,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,28.471,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1041,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,22.59,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1042,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,13.023,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1043,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,72.044,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1044,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,17.173,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1045,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,10.485,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1046,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,0.166,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1047,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,0.225,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1048,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,76.665,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1049,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,34.067,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
