name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,lon,lat,cfd_round,ro_banding,data_source,region
Ranson_Moor_Wind_Farm_Phase_2,Z12,PQ,,4.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,0.0373415893401989,52.510606048402025,,,,
West_Durham_Wind_Farm,Z7,PQ,,24.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.815039894971388,54.76380009478167,,,,
Dyffryn_Brodyn_Wind_Farm,Z13,PQ,,5.5,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.590744133160642,51.9111926212117,,,,
North_Red_Bog,Z2,PQ,,1.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.009106572150142,57.58762431697025,,,,
Milton_Keynes_Wind_Farm,Z14,PQ,,14.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-0.6865249738743311,52.13280344873321,,,,
Broom_Hill_Farm,Z7,PQ,,8.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.760726302666171,54.7502254784949,,,,
Winscales_Moor,Z6,PQ,,6.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.49681275786227,54.64235616191639,,,,
Wind_Farm_Africa_Alive,Z12,PQ,,4.1,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,1.7028599428293745,52.41481909709043,,,,
Beinn_Tharsuinn_Extension_Beinn_nan_Oighrean,Z1_3,PQ,,4.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.24815134498476,57.788209525482245,,,,
St_John's_Well,Z2,PQ,,2.4,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.3252038821581618,57.4266058645857,,,,
Hellrigg_Wind_farm,Z6,PQ,,9.2,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.34752120785385,54.853289032414175,,,,
