name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,lon,lat
FES_Battery_Kintore_2035_109,Z2,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Lunanhead_2035_110,Z2,PQ,,59.89,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,59.89,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Lyndhurst_2035_111,Z3,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-4.05,56.442
FES_Battery_Nairn_2035_112,Z2,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Peterhead_Shell_2035_113,Z2,PQ,,1.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Rothienorman_2035_114,Z2,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Strichen_2035_115,Z2,PQ,,67.1,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,67.1,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Thurso_2035_116,Z1_3,PQ,,3.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,3.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-4.436,58.107
FES_Battery_Botley_Wood_2035_117,Z16,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
FES_Battery_Bramley_2035_118,Z16,PQ,,260.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,260.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
FES_Battery_Fawley_2035_119,Z16,PQ,,109.696,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,109.696,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
FES_Battery_Fleet_2035_120,Z16,PQ,,4.75,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,4.75,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
